source,target,weight
Tunisia,Kerosenes of which: kerosene type jet fuel,3188192.68100243
Tunisia,Liquefied petroleum gases,4636544.024476457
Tunisia,Motor and aviation gasoline,3257233.805889043
Tunisia,NGL,4144545.556636472
Tunisia,Naphtha,3694975.068186707
Tunisia,Other,2908200.0
Tunisia,Other oil products,2394668.2330757
Tunisia,Total,22245.0
Tunisia,Total oil products,3634105.0
United Arab Emirates,Crude Oil,25664848.904566266
United Arab Emirates,Fuel Oil,3450792.696898563
United Arab Emirates,Gas/diesel oil,4145078.586448704
United Arab Emirates,Kerosenes,4453515.246384299
United Arab Emirates,Kerosenes of which: kerosene type jet fuel,2758350.0
United Arab Emirates,Liquefied petroleum gases,5662140.711561323
United Arab Emirates,Motor and aviation gasoline,4733175.680353923
United Arab Emirates,NGL,11034757.28966223
United Arab Emirates,Naphtha,3965207.287978632
United Arab Emirates,Other,39338.83259889
United Arab Emirates,Other oil products,3034802.24585118
United Arab Emirates,Total,4386485.979940275
United Arab Emirates,Total oil products,5927276.0
United States,Crude Oil,140670450.83117542
United States,Fuel Oil,10445611.87164853
United States,Gas/diesel oil,36560624.990461074
United States,Kerosenes,14154087.866746081
United States,Kerosenes of which: kerosene type jet fuel,9067556.177890629
United States,Liquefied petroleum gases,20874942.601203896
United States,Motor and aviation gasoline,62117225.373097055
United States,NGL,17446482.48615594
United States,Naphtha,3105599.969571533
United States,Other,13981431.535158196
United States,Other oil products,25028088.493406884
United States,Total,139357369.7181887
United States,Total oil products,133827598.96310171
Yemen,Crude Oil,4216937.60831467
Yemen,Fuel Oil,3214797.90043182
Yemen,Gas/diesel oil,3581007.05363507
Yemen,Kerosenes,4034528.600731309
Yemen,Kerosenes of which: kerosene type jet fuel,2908640.0
Yemen,Liquefied petroleum gases,6192058.77162734
Yemen,Motor and aviation gasoline,4297568.02573558
Yemen,NGL,4346600.0
Yemen,Naphtha,3849120.0
Yemen,Other,3256000.0
Yemen,Other oil products,2456320.0
Yemen,Total oil products,3964930.0
